url,reason,excluded_at
https://www.axios.com/2023/03/27/labor-board-says-non-disparagement-clauses-are-unlawful,,2026-07-05T14:52
https://www.wsj.com/economy/china-is-devastating-the-last-stronghold-of-german-industry-c7a98514,,2026-07-05T18:01
https://www.wired.com/story/scientists-have-identified-a-new-fossil-species-of-axolotl-in-mexico/,,2026-07-05T18:01
https://apnews.com/article/khamenei-funeral-supreme-leader-iran-us-war-july-4-2026-f7168b934d457bdb8b8a2da855d1d03a,,2026-07-05T18:02
https://www.nytimes.com/2026/07/05/us/politics/navy-helicopter-crash-arabian-sea.html,,2026-07-05T18:02
https://www.wsj.com/finance/investing/stocks-q2-2026-look-back-4b7f8c7d,,2026-07-05T18:02
https://www.nytimes.com/2026/07/05/us/politics/mcmorrow-senate-suspend-campaign-democrats-michigan.html,,2026-07-05T18:02
https://www.nytimes.com/2026/07/05/us/politics/bill-archer-dead.html,,2026-07-05T18:02
https://www.politico.com/live-updates/2026/07/04/world-cup-2026/santiago-penas-paraguay-president-last-chance-superstition-00987014,,2026-07-05T18:02
https://www.bloomberg.com/news/articles/2026-07-04/oil-s-stunning-reversal-rekindles-fears-of-a-global-glut,,2026-07-05T18:02
https://fortune.com/2026/07/04/historic-american-giving-in-2025-despite-economic-squeeze-billionaires-like-elon-musk-complaints-indicators-of-great-wealth-transfer/,,2026-07-05T18:02
https://apnews.com/article/pope-july-4-immigration-migrants-lampedusa-1dd8b2964586f719e99faf4aaeaaf205,,2026-07-05T18:02
https://www.wsj.com/tech/the-quest-to-make-humanoid-robots-safe-enough-for-humans-4887c123,,2026-07-05T18:02
https://www.vox.com/policy-and-politics/2017/11/14/16640082/donna-brazile-warren-bernie-sanders-democratic-primary-rigged,,2026-07-05T18:03
https://www.huffpost.com/entry/opinion-smith-obama-king_n_5a5903e0e4b04f3c55a252a4,,2026-07-05T18:03
